IC,Cycles,CPI,CycleTime,ET,DL1_Miss_Rate,DL1_MISSES,DL1_ACCESSES
335713224,74994201,0.223388,0.193228,0.014491,0.014294,1919475,134280703
303660926,169092824,0.556847,0.193586,0.032734,0.000629,62232,98914428
