type,size,GLOPS,GPU_time,total_time
float,2048, 820.22, 20.945568, 0.265874
float,4096, 433.22, 317.246918, 0.674624
float,8192, 1116.46, 984.820984, 1.241310
double,8192, 414.26, 2654.174805, 2.978629
float,8192, 3156.21, 348.364441, 0.498058
